id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
824612,East Village Private Garden Gem!,4326869,Hastings-Sunrise,49.28648,-123.05395,Entire home/apt,84,31,55,2019-06-25,0.69,1,0
828920,1 bedroom+Den Monthly rentals only,4345039,Downtown,49.27347,-123.12012,Entire home/apt,144,30,3,2018-06-03,0.06,1,343
838336,"3 BEDROOM, 3 LEVEL TOWNHOUSE",4372257,Mount Pleasant,49.25788,-123.10925,Entire home/apt,420,5,12,2018-08-25,0.16,1,211
840894,Stunning Brick in the heart of Mt Pleasant,923296,Riley Park,49.25424,-123.09871,Entire home/apt,60,5,84,2016-04-09,1.14,1,31
874731,Sunny room with private bathroom  near VGH,2216706,Fairview,49.25728,-123.12122,Private room,70,3,35,2019-07-08,0.47,1,51
875309,Heritage Home near Kits Beach,4621004,Kitsilano,49.26965,-123.16351,Entire home/apt,276,7,30,2018-11-18,0.39,1,274
885600,"Dunbar near UBC, modern + clean",4693732,Dunbar Southlands,49.24721,-123.18622,Entire home/apt,130,3,170,2019-07-02,2.19,1,271
906964,"Amazing, modern, clean apt just off Commercial Dr",4856368,Grandview-Woodland,49.27321,-123.0707,Entire home/apt,119,2,117,2019-07-08,1.69,1,272
911099,bright furnished room in shared 2 bdrm suite,70437,Mount Pleasant,49.26562,-123.09673,Private room,55,30,6,2019-03-05,0.08,2,282
941216,Beautiful Downtown Luxury Rental,5088083,Downtown,49.28038,-123.10612,Entire home/apt,94,30,3,2019-02-25,0.29,1,268
944021,Modern Serenity - Heart of Downtown,5109267,Downtown,49.2788,-123.11753,Entire home/apt,174,90,4,2014-12-01,0.06,1,282
958090,Private apartment-Yaletown Downtown,1200456,Downtown,49.27697,-123.11616,Entire home/apt,522,30,10,2013-09-30,0.13,8,365
961692,PRIVATE ENT. GARDEN SUITE,5237545,Hastings-Sunrise,49.29186,-123.02504,Entire home/apt,130,3,35,2018-10-28,0.47,1,283
966003,$90 Special Downtown Van 180 Degree Water View,5268156,Downtown,49.2803,-123.10788,Entire home/apt,150,2,211,2019-06-28,2.96,3,128
980511,"261 Yaletown Studio at ""Space""",600607,Downtown,49.2764,-123.12547,Entire home/apt,89,30,5,2019-03-31,0.1,50,44
994900,Explore Vancouver from a Charming Heritage House,5464331,Downtown Eastside,49.27888,-123.08514,Entire home/apt,105,3,210,2019-06-25,2.87,1,44
994969,152 Studio (no Bedroom),600607,Downtown,49.27994,-123.12554,Entire home/apt,87,32,1,2013-09-17,0.01,50,32
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,West End,49.28839,-123.12777,Entire home/apt,119,32,10,2018-03-10,0.14,50,61
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Downtown,49.28031,-123.1267,Entire home/apt,279,180,2,2014-05-23,0.03,2,365
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!  ,5539641,Downtown,49.27837,-123.12582,Entire home/apt,180,180,1,2013-06-02,0.01,2,365
1012385,comfy stay in clean victorian house,5569906,Mount Pleasant,49.25825,-123.08901,Entire home/apt,80,2,219,2019-07-03,2.9,1,185
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Downtown,49.27826,-123.12085,Entire home/apt,80,30,89,2019-02-10,1.17,2,241
1021669,Yaletown Deluxe Studio Condominium,5623565,Downtown,49.2787,-123.12732,Entire home/apt,75,30,130,2019-06-24,1.73,2,253
1030205,Beautiful Point Grey Character Home,5668489,Kitsilano,49.26984,-123.1812,Entire home/apt,251,2,78,2019-06-26,1.08,1,33
1030299,Great location!  Gastown/Skytrain,2673805,Downtown,49.27843,-123.10725,Entire home/apt,112,90,21,2013-10-13,0.28,2,235
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Grandview-Woodland,49.27093,-123.06289,Private room,94,2,39,2019-06-26,0.52,1,333
1061895,Quiet space minutes from downtown!,5845838,Renfrew-Collingwood,49.24347,-123.04234,Private room,70,2,56,2019-05-26,1.44,1,0
1066613,Modern warm apt - Yaletown,84353,Downtown,49.27847,-123.12429,Private room,66,28,21,2016-06-18,0.28,1,30
1096393,Ground Level apartment for 1 person,2456973,Fairview,49.25818,-123.13185,Entire home/apt,199,30,9,2018-08-31,0.16,6,190
1097336,Kitsilano apartment near the beach,1922054,Kitsilano,49.26835,-123.1829,Entire home/apt,97,1,4,2013-11-01,0.05,1,0
1102797,this is the door to vancouver UNW,981145,Downtown Eastside,49.27881,-123.08014,Private room,70,1,55,2019-07-07,0.98,4,263
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Downtown,49.27865,-123.10722,Entire home/apt,349,3,237,2019-06-30,4.46,1,305
1109821,136 Lord Stanley Great price!,600607,West End,49.29193,-123.1364,Entire home/apt,98,30,11,2019-03-23,0.17,50,34
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Kitsilano,49.26056,-123.15874,Entire home/apt,480,6,32,2019-06-30,0.44,1,53
1115618,This is the door to Vancouver UNE,981145,Downtown Eastside,49.27864,-123.07854,Private room,70,1,41,2019-07-06,0.68,4,295
1141457,2 Bdrm in Strathcona,6067405,Downtown Eastside,49.27954,-123.08689,Entire home/apt,119,3,239,2019-06-29,3.19,1,254
1156898,seasonal suite with private bathroom in Vancouver,1344421,Victoria-Fraserview,49.2283,-123.07126,Private room,35,3,85,2018-09-14,1.15,1,43
1162198,Bright & Tidy Character Apartment,6366260,Grandview-Woodland,49.27186,-123.06996,Private room,49,30,71,2019-04-15,0.99,1,320
1171867,Live by the beach in Kits Point,1805803,Kitsilano,49.27427,-123.14976,Entire home/apt,300,2,63,2019-06-15,0.88,1,0
1178149,Cozy space in East Vancouver,6165412,Hastings-Sunrise,49.27128,-123.04797,Private room,80,2,24,2019-07-07,1.99,1,110
1187929,Elegant Main floor House Vancouver,6495937,Kensington-Cedar Cottage,49.24931,-123.0704,Entire home/apt,188,3,77,2019-06-26,1.06,1,30
1191143,Beautiful Kitsilano Character home. Great Location,598979,Kitsilano,49.26856,-123.17419,Entire home/apt,290,7,12,2019-06-09,0.19,2,56
1209195,Kriszta's Studio,6602654,Grandview-Woodland,49.27244,-123.06493,Entire home/apt,98,2,284,2019-07-01,3.82,2,119
1213494,Beautiful new home in Mt. Pleasant,6624242,Mount Pleasant,49.26198,-123.08556,Entire home/apt,251,5,11,2018-08-26,0.23,2,9
